1-byte 	1-byte character ma ky tu 1 bai
ab	ab (vt cua able-bodied seaman) thuy thu hang nhat (vt cua Bachelor of Arts) Cu nhan van chuong
aba	aba   danh tu ao aba (ao ngoai giong hinh cai tui nguoi A-Rap)
abac, abacus	abac, abacus ban tinh, toan do, ban do tinh
abaca	abaca danh tu vai det bang to chuoi abaca o philipin cay chuoi abaca
abaci	abaci   danh tu,  so nhieu abaci,  abacuses ban tinh to move counters of an abacus; to work an abacus  tinh bang ban tinh, gay ban tinh (kien truc) dau cot, dinh cot abacus (Tech) ban toan
abacist	abacist danh tu nguoi gay ban phim nguoi ke toan
aback	aback   pho tu lui lai, tro lai phia sau to stand aback from  dung lui lai de tranh (hang hai) bi thoi ep vao cot buom (buom) to be taken aback  (hang hai) bi gio thoi ep vao cot buom (nghia bong) sung sot, ngac nhien to be taken aback by the news  sung sot vi cai tin do
abacterial	abacterial tinh tu khong do vi khuan gay ra
abaction	abaction danh tu (tu phap) viec gia suc bi bat trom
abactus	abactus tinh tu bi truy thai
abacus	abacus   danh tu,  so nhieu abaci,  abacuses ban tinh to move counters of an abacus; to work an abacus  tinh bang ban tinh, gay ban tinh (kien truc) dau cot, dinh cot abacus (Tech) ban toan
abacuses	abacus   danh tu,  so nhieu abaci,  abacuses ban tinh to move counters of an abacus; to work an abacus  tinh bang ban tinh, gay ban tinh (kien truc) dau cot, dinh cot abacus (Tech) ban toan
abaddon	abaddon   danh tu am ti, dia nguc con quy
abaft	abaft   pho tu (hang hai) o phia sau banh lai, gan phia banh lai  gioi tu (hang hai) sau, o dang sau, o phia sau abaft the mast  sau cot buom
abalienate	abalienate ngoai dong tu nhuong lai tai san
abalienated	abalienate ngoai dong tu nhuong lai tai san
abalienates	abalienate ngoai dong tu nhuong lai tai san
abalienating	abalienate ngoai dong tu nhuong lai tai san
abalienation	abalienation danh tu su nhuong lai tai san
abalone	abalone   danh tu (tu My,nghia My) bao ngu
abalones	abalone   danh tu (tu My,nghia My) bao ngu
abampere	abampere (Tech) abampe, ampe tuyet doi (don vi cuong do tuyet doi cua dong dien, 1 abampe   10 ampe)
abandon	abandon   ngoai dong tu bom (nhiep anh) (nhiep anh) (tu My,nghia My) tu bo; bo roi, ruong bo to abandon a hope  tu bo hy vong to abandon one's wife and children  ruong bo vo con to abandon oneself to  dam duoi, chim dam vao (noi that vong...)  danh tu su phong tung, su tu do, su buong tha with abandon  phong tung abandon (Tech) bo, bo roi (d)
abandon call	abandon call (Tech) goi bo
abandoned	abandoned   ngoai dong tu bom (nhiep anh) (nhiep anh) (tu My,nghia My) tu bo; bo roi, ruong bo to abandon a hope  tu bo hy vong to abandon one's wife and children  ruong bo vo con to abandon oneself to  dam duoi, chim dam vao (noi that vong...)  danh tu su phong tung, su tu do, su buong tha with abandon  phong tung abandon (Tech) bo, bo roi (d)
abandoner	abandoner   danh tu (phap ly) nguoi rut don
abandoners	abandoner   danh tu (phap ly) nguoi rut don
abandoning	abandon   ngoai dong tu bom (nhiep anh) (nhiep anh) (tu My,nghia My) tu bo; bo roi, ruong bo to abandon a hope  tu bo hy vong to abandon one's wife and children  ruong bo vo con to abandon oneself to  dam duoi, chim dam vao (noi that vong...)  danh tu su phong tung, su tu do, su buong tha with abandon  phong tung abandon (Tech) bo, bo roi (d)
abandonment	abandonment   danh tu su bo, su tu bo, su bo roi, su ruong bo tinh trang bi bo roi, tinh trang bi ruong bo su phong tung, su tu do, su buong tha abandonment (Tech) bo, tu bo (d)
abandonments	abandonment   danh tu su bo, su tu bo, su bo roi, su ruong bo tinh trang bi bo roi, tinh trang bi ruong bo su phong tung, su tu do, su buong tha abandonment (Tech) bo, tu bo (d)
abandons	abandon   ngoai dong tu bom (nhiep anh) (nhiep anh) (tu My,nghia My) tu bo; bo roi, ruong bo to abandon a hope  tu bo hy vong to abandon one's wife and children  ruong bo vo con to abandon oneself to  dam duoi, chim dam vao (noi that vong...)  danh tu su phong tung, su tu do, su buong tha with abandon  phong tung abandon (Tech) bo, bo roi (d)
abapikal	abapikal tinh tu (sinh hoc) xa dinh; xa ngon duoi vuc
abarticular	abarticular tinh tu (giai phau) hoc ngoai khop; trat khop
abas	aba   danh tu ao aba (ao ngoai giong hinh cai tui nguoi A-Rap)
abase	abase   ngoai dong tu lam ha pham gia, lam mat the dien, lam nhuc to abase one-self  tu ha minh
abased	abase   ngoai dong tu lam ha pham gia, lam mat the dien, lam nhuc to abase one-self  tu ha minh
abasement	abasement   danh tu su lam ha pham gia, su lam mat the dien, su lam nhuc
abasements	abasement   danh tu su lam ha pham gia, su lam mat the dien, su lam nhuc
abases	abase   ngoai dong tu lam ha pham gia, lam mat the dien, lam nhuc to abase one-self  tu ha minh
abash	abash   ngoai dong tu lam boi roi, lam lung tung, lam luong cuong
abashed	abashed tinh tu boi roi, xau hoabash   ngoai dong tu lam boi roi, lam lung tung, lam luong cuong
abashes	abash   ngoai dong tu lam boi roi, lam lung tung, lam luong cuong
abashing	abash   ngoai dong tu lam boi roi, lam lung tung, lam luong cuong
abashment	abashment   danh tu su boi roi, su lung tung, su luong cuong
abashments	abashment   danh tu su boi roi, su lung tung, su luong cuong
abasing	abase   ngoai dong tu lam ha pham gia, lam mat the dien, lam nhuc to abase one-self  tu ha minh
abask	abask   pho tu (tho ca) duoi anh nang, duoi anh mat troi, trong anh lua am
abatable	abatable   tinh tu co the lam diu, co the lam yeu di, co the giam bot co the ha, co the bot co the lam nhut co the cham dut, co the thanh tru (phap ly) co the huy bo, co the thu tieu
abate	abate   ngoai dong tu lam diu di, lam yeu di, lam giam bot to abate a pain  lam diu dau ha (gia), bot (gia) lam nhut (nhut khi...) lam cun (luoi dao...) thanh toan, lam mat het (nhung dieu kho chiu, buc boi) (phap ly) huy bo, thu tieu (ky thuat) ram (thep)  noi dong tu diu di, yeu di, nhut di, do, bot, ngot paint abates  con dau diu di storm abates  con bao ngot
abated	abate   ngoai dong tu lam diu di, lam yeu di, lam giam bot to abate a pain  lam diu dau ha (gia), bot (gia) lam nhut (nhut khi...) lam cun (luoi dao...) thanh toan, lam mat het (nhung dieu kho chiu, buc boi) (phap ly) huy bo, thu tieu (ky thuat) ram (thep)  noi dong tu diu di, yeu di, nhut di, do, bot, ngot paint abates  con dau diu di storm abates  con bao ngot
abatement	abatement   danh tu su diu di, su yeu di, su nhut di, su giam bot, su do, su ngot su ha (gia), su bot (gia) su cham dut, su thanh toan (phap ly) su huy bo, su thu tieu abatement of a contract  su huy bo mot hop dong
Abatement cost	Abatement cost (Econ) Chi phi kiem soat; chi phi chong (o nhiem)  Chi phi lam giam su kho chiu nhu o nhiem hay tac duong.
abatements	abatement   danh tu su diu di, su yeu di, su nhut di, su giam bot, su do, su ngot su ha (gia), su bot (gia) su cham dut, su thanh toan (phap ly) su huy bo, su thu tieu abatement of a contract  su huy bo mot hop dong
abater	abater danh tu nguoi giam bot (y hoc) thuoc lam diu
abates	abate   ngoai dong tu lam diu di, lam yeu di, lam giam bot to abate a pain  lam diu dau ha (gia), bot (gia) lam nhut (nhut khi...) lam cun (luoi dao...) thanh toan, lam mat het (nhung dieu kho chiu, buc boi) (phap ly) huy bo, thu tieu (ky thuat) ram (thep)  noi dong tu diu di, yeu di, nhut di, do, bot, ngot paint abates  con dau diu di storm abates  con bao ngot
abating	abate   ngoai dong tu lam diu di, lam yeu di, lam giam bot to abate a pain  lam diu dau ha (gia), bot (gia) lam nhut (nhut khi...) lam cun (luoi dao...) thanh toan, lam mat het (nhung dieu kho chiu, buc boi) (phap ly) huy bo, thu tieu (ky thuat) ram (thep)  noi dong tu diu di, yeu di, nhut di, do, bot, ngot paint abates  con dau diu di storm abates  con bao ngot
abatis	abatis   danh tu,  so nhieu abatis (quan su) dong cay chuong ngai, dong cay can
abatised	abatised   tinh tu (quan su) co dong cay chuong ngai, co dong cay can
abatises	abatis   danh tu,  so nhieu abatis (quan su) dong cay chuong ngai, dong cay can
abattoir	abattoir   danh tu lo mo, lo sat sinh
abattoirs	abattoir   danh tu lo mo, lo sat sinh
abaxial	abaxial tinh tu o ngoai truc, xa truc
abaya	abaya danh tu ao aba (cua nguoi A Rap)
abb	abb   danh tu (nghanh det) soi canh, soi kho (cua tam vai)
abbacies	abbacy   danh tu chuc vi truong tu vien; quyen han truong tu vien
abbacy	abbacy   danh tu chuc vi truong tu vien; quyen han truong tu vien
abbatial	abbatial   tinh tu (thuoc) truong tu vien
abbess	abbess   danh tu cha truong tu vien
abbesses	abbess   danh tu cha truong tu vien
abbey	abbey   danh tu tu vien gioi tu si, cac nha tu, cac ba xo nha tho (lon)
abbeys	abbey   danh tu tu vien gioi tu si, cac nha tu, cac ba xo nha tho (lon)
abbo	abbo danh tu so nhieu abos,  abbos nguoi tho dan; dan cu tru dau tien tai dia phuong
abbot	abbot   danh tu cha truong tu vien
abbots	abbot   danh tu cha truong tu vien
abbr	abbr (vt cua abbreviated, abbreviation) viet tat, chu viet tat
abbreviate	abbreviate   ngoai dong tu tom tat, viet tat; rut ngan lai (cuoc di tham...) (toan hoc) uoc luoc, rut gon  tinh tu tuong doi ngan abbreviate (Tech) rut gon; viet tat abbreviate viet gon, viet tat
abbreviated	abbreviated   ngoai dong tu tom tat, viet tat; rut ngan lai (cuoc di tham...) (toan hoc) uoc luoc, rut gon  tinh tu tuong doi ngan abbreviate (Tech) rut gon; viet tat abbreviate viet gon, viet tat
abbreviated address	abbreviated address (Tech) dia chi rut gon
abbreviates	abbreviate   ngoai dong tu tom tat, viet tat; rut ngan lai (cuoc di tham...) (toan hoc) uoc luoc, rut gon  tinh tu tuong doi ngan abbreviate (Tech) rut gon; viet tat abbreviate viet gon, viet tat
abbreviating	abbreviate   ngoai dong tu tom tat, viet tat; rut ngan lai (cuoc di tham...) (toan hoc) uoc luoc, rut gon  tinh tu tuong doi ngan abbreviate (Tech) rut gon; viet tat abbreviate viet gon, viet tat
abbreviation	abbreviation   danh tu su tom tat, su rut ngan (cuoc di tham...) bai tom tat chu viet tat Jan is the abbreviation January  Jan la chu viet tat cua January (toan hoc) su uoc luoc, su rut gon abbreviation (Tech) su tom tat; chu viet tat abbreviation su viet gon, su viet tat
abbreviations	abbreviation   danh tu su tom tat, su rut ngan (cuoc di tham...) bai tom tat chu viet tat Jan is the abbreviation January  Jan la chu viet tat cua January (toan hoc) su uoc luoc, su rut gon abbreviation (Tech) su tom tat; chu viet tat abbreviation su viet gon, su viet tat
abbreviator	abbreviator   danh tu nguoi tom tat
abbreviators	abbreviator   danh tu nguoi tom tat
abc	abc danh tu bang chu cai khai niem co so, co so &lt;dsat&gt; bang chi duong theo ABC danh tu (vt cua American Broadcasting Company) Cong ty phat thanh truyen hinh My (vt cua Australian Broadcasting Commission) Uy ban phat thanh truyen hinh Uc Dai Loi
abc-book	abc-book danh tu sach vo long, sach hoc van
abcauline	abcauline tinh tu (sinh hoc) ngoai than, xa than
abdicable	abdicable xem abdicate
abdicant	abdicant   danh tu nguoi tu bo nguoi thoai vi
abdicants	abdicant   danh tu nguoi tu bo nguoi thoai vi
abdicate	abdicate   ngoai dong tu tu bo (quyen loi, dia vi...) to abdicate a position  tu bo mot dia vi to abdicate all one's rights  tu bo moi quyen loi  noi dong tu thoai vi, tu ngoi
abdicated	abdicate   ngoai dong tu tu bo (quyen loi, dia vi...) to abdicate a position  tu bo mot dia vi to abdicate all one's rights  tu bo moi quyen loi  noi dong tu thoai vi, tu ngoi
abdicates	abdicate   ngoai dong tu tu bo (quyen loi, dia vi...) to abdicate a position  tu bo mot dia vi to abdicate all one's rights  tu bo moi quyen loi  noi dong tu thoai vi, tu ngoi
abdicating	abdicate   ngoai dong tu tu bo (quyen loi, dia vi...) to abdicate a position  tu bo mot dia vi to abdicate all one's rights  tu bo moi quyen loi  noi dong tu thoai vi, tu ngoi
abdication	abdication   danh tu su thoai vi, su tu ngoi su tu bo (dia vi, chuc vu, quyen loi...)
abdications	abdication   danh tu su thoai vi, su tu ngoi su tu bo (dia vi, chuc vu, quyen loi...)
abdicator	abdicator   danh tu nguoi tu bo nguoi thoai vi
abdicators	abdicator   danh tu nguoi tu bo nguoi thoai vi
abdomen	abdomen   danh tu bung
abdomens	abdomen   danh tu bung
abdominal	abdominal   tinh tu (thuoc) bung; o bung an abdominal operation  phau thuat o bung abdominal cavity  khoang bung
abdominally	abdominally pho tu (thuoc) bung; o bung
abdominous	abdominous   tinh tu phe bung
abducens	abducens danh tu day than kinh nao VI ra ngoai
abducent	abducent   tinh tu (giai phau) re ra, giang ra
abducentes	abducens danh tu day than kinh nao VI ra ngoai
abduct	abduct   ngoai dong tu bat coc, cuom di, lua dem di (nguoi dan ba...) (giai phau) re ra, giang ra
abducted	abduct   ngoai dong tu bat coc, cuom di, lua dem di (nguoi dan ba...) (giai phau) re ra, giang ra
abducting	abduct   ngoai dong tu bat coc, cuom di, lua dem di (nguoi dan ba...) (giai phau) re ra, giang ra
abduction	abduction   danh tu su bat coc (tre em...), su bat di, su cuom di, su lua dem di (giai phau) su giang ra
abductions	abduction   danh tu su bat coc (tre em...), su bat di, su cuom di, su lua dem di (giai phau) su giang ra
abductor	abductor   danh tu nguoi bat coc, nguoi cuom di, nguoi lua dem di (giai phau) co giang ((cung) abductor muscle)
abductors	abductor   danh tu nguoi bat coc, nguoi cuom di, nguoi lua dem di (giai phau) co giang ((cung) abductor muscle)
abducts	abduct   ngoai dong tu bat coc, cuom di, lua dem di (nguoi dan ba...) (giai phau) re ra, giang ra
abeam	abeam   pho tu (hang hai),  (hang khong) dam ngang suon abeam of us  ngang suon chung toi; song ngang voi chung toi
abearance	abearance danh tu pham hanh  good abearance pham hanh tot
abecedarian	abecedarian   tinh tu sap xep theo thu tu abc so dang dot nat  danh tu (tu My,nghia My) hoc sinh vo long
abecedarians	abecedarian   tinh tu sap xep theo thu tu abc so dang dot nat  danh tu (tu My,nghia My) hoc sinh vo long
abecedaries	abecedaries danh tu sach vo long; sach van dieu so bo; dieu so dang
abed	abed   pho tu o tren giuong to lie abed  nam o tren giuong
abele	abele   danh tu (thuc vat hoc) cay bach duong
abelmosk	abelmosk   danh tu (thuc vat hoc) cay vong vang
abend (abnormal ending)	abend (abnormal ending) (Tech) ket thuc/cham dut bat thuong
abenteric	abenteric tinh tu (giai phau) hoc ngoai ruot, xa ruot
aberrance	aberrance   danh tu su lam lac (sinh vat hoc) su khac thuong
aberrances	aberrance   danh tu su lam lac (sinh vat hoc) su khac thuong
aberrancies	aberrancy   danh tu su lam lac (sinh vat hoc) su khac thuong
aberrancy	aberrancy   danh tu su lam lac (sinh vat hoc) su khac thuong
aberrant	aberrant   tinh tu lam lac (sinh vat hoc) khac thuong
aberrantly	aberrantly xem aberrant
aberration	aberration   danh tu su lam lac; phut lam lac su kem tri khon, su loan tri su khac thuong (vat ly) quang sai lateral aberration  quang sai ngang (thien van hoc) tinh sai secular aberration  tinh sai truong ky annual aberration  tinh sai hang nam aberration (Tech) quang sai aberration (vat li) quang sai
aberrations	aberration   danh tu su lam lac; phut lam lac su kem tri khon, su loan tri su khac thuong (vat ly) quang sai lateral aberration  quang sai ngang (thien van hoc) tinh sai secular aberration  tinh sai truong ky annual aberration  tinh sai hang nam aberration (Tech) quang sai aberration (vat li) quang sai
abet	abet   ngoai dong tu xui bay, xui giuc, khich tiep tay (ai lam bay)
abetment	abetment   danh tu su xui bay, su xui giuc, su khich su tiep tay
abets	abet   ngoai dong tu xui bay, xui giuc, khich tiep tay (ai lam bay)
abettal	abettal   danh tu su xui bay, su xui giuc, su khich su tiep tay
abette	abette   danh tu ke xui giuc ke tiep tay
abetted	abet   ngoai dong tu xui bay, xui giuc, khich tiep tay (ai lam bay)
abetter	abetter danh tu ke xui giuc ke tiep tay
abetters	abetter danh tu ke xui giuc ke tiep tay
abetting	abet   ngoai dong tu xui bay, xui giuc, khich tiep tay (ai lam bay)
abettor	abettor   danh tu ke xui giuc ke tiep tay
abettors	abettor   danh tu ke xui giuc ke tiep tay
abeyance	abeyance   danh tu su dong lai work in abeyance  cong viec con dong lai su dinh chi, su hoan lai, su tam thoi khong ap dung (dao luat...) to be in abeyance; to fall into abeyance  bi dinh chi, bi hoan lai, tam thoi khong duoc ap dung (phap ly) tinh trang tam thoi khong co nguoi nhan; tinh trang tam thoi vo chu lands in abeyance  dat vo thua nhan, dat vo chu tinh trang trong, tinh trang khuyet (mot chuc vi)
abeyances	abeyance   danh tu su dong lai work in abeyance  cong viec con dong lai su dinh chi, su hoan lai, su tam thoi khong ap dung (dao luat...) to be in abeyance; to fall into abeyance  bi dinh chi, bi hoan lai, tam thoi khong duoc ap dung (phap ly) tinh trang tam thoi khong co nguoi nhan; tinh trang tam thoi vo chu lands in abeyance  dat vo thua nhan, dat vo chu tinh trang trong, tinh trang khuyet (mot chuc vi)
abeyant	abeyant   tinh tu tam thoi dinh chi, tam nghi hoat dong
abhor	abhor   ngoai dong tu ghe tom; ghet cay ghet dang
abhorred	abhor   ngoai dong tu ghe tom; ghet cay ghet dang
abhorrence	abhorrence   danh tu su ghe tom to have an abhorrence of  su ghet cay ghet dang to hold in abhorrence of  ghe tom; ghet cay ghet dang dieu ghe tom; cai bi ghet cay ghet dang
abhorrences	abhorrence   danh tu su ghe tom to have an abhorrence of  su ghet cay ghet dang to hold in abhorrence of  ghe tom; ghet cay ghet dang dieu ghe tom; cai bi ghet cay ghet dang
abhorrent	abhorrent   tinh tu ghe tom, dang ghet to be abhorrent to someone  ghe tom doi voi ai, bi ai ghe tom, bi ai ghet cay ghet dang (  from) trai voi, mau thuan voi, khong hop voi conduct abhorrent from principles  tu cach mau thuan voi phep tac (tu co,nghia co) (  of) ghe tom, ghet cay ghet dang to be abhorrent of something  ghe tom cai gi, ghet cay ghet dang cai gi
abhorrently	abhorrently xem abhorrent
abhorrer	abhorrer xem abhor
abhorrers	abhorrer xem abhor
abhorring	abhor   ngoai dong tu ghe tom; ghet cay ghet dang
abhors	abhor   ngoai dong tu ghe tom; ghet cay ghet dang
abidance	abidance   danh tu su ton trong, su tuan theo, su thi hanh dung abidance by rules  su ton trong luat le, su tuan theo luat le (  in) su ton tai; su keo dai
abide	abide   noi dong tu (abode; abode,  abide) ton tai; keo dai this mistake will not abide for ever  sai lam nay se khong the keo dai mai duoc (  by) ton trong, giu, tuan theo, chiu theo; trung thanh voi to abide by one's friend  trung thanh voi ban (tu co,nghia co) o, ngu tai to abide with somebody  o voi ai  ngoai dong tu cho, cho doi to abide one's time  cho thoi co chiu dung, chiu we can't abide his fits of temper  chung toi khong the chiu duoc nhung con nong gian cua han chong do duoc (cuoc tan cong)
abided	abide   noi dong tu (abode; abode,  abide) ton tai; keo dai this mistake will not abide for ever  sai lam nay se khong the keo dai mai duoc (  by) ton trong, giu, tuan theo, chiu theo; trung thanh voi to abide by one's friend  trung thanh voi ban (tu co,nghia co) o, ngu tai to abide with somebody  o voi ai  ngoai dong tu cho, cho doi to abide one's time  cho thoi co chiu dung, chiu we can't abide his fits of temper  chung toi khong the chiu duoc nhung con nong gian cua han chong do duoc (cuoc tan cong)
abider	abider xem abide
abides	abide   noi dong tu (abode; abode,  abide) ton tai; keo dai this mistake will not abide for ever  sai lam nay se khong the keo dai mai duoc (  by) ton trong, giu, tuan theo, chiu theo; trung thanh voi to abide by one's friend  trung thanh voi ban (tu co,nghia co) o, ngu tai to abide with somebody  o voi ai  ngoai dong tu cho, cho doi to abide one's time  cho thoi co chiu dung, chiu we can't abide his fits of temper  chung toi khong the chiu duoc nhung con nong gian cua han chong do duoc (cuoc tan cong)
abiding	abiding   noi dong tu (abode; abode,  abide) ton tai; keo dai this mistake will not abide for ever  sai lam nay se khong the keo dai mai duoc (  by) ton trong, giu, tuan theo, chiu theo; trung thanh voi to abide by one's friend  trung thanh voi ban (tu co,nghia co) o, ngu tai to abide with somebody  o voi ai  ngoai dong tu cho, cho doi to abide one's time  cho thoi co chiu dung, chiu we can't abide his fits of temper  chung toi khong the chiu duoc nhung con nong gian cua han chong do duoc (cuoc tan cong)
abidingly	abidingly xem abiding
abience	abience danh tu su tranh kich thich
abient	abient tinh tu tranh kich thich
abies	abies danh tu (thuc vat) cay linh sam
abietene	abietene   danh tu (hoa hoc) Abietin
abigail	abigail   danh tu thi ty, nu ty
abigails	abigail   danh tu thi ty, nu ty
abilitate	abilitate   dong tu (tu hiem,nghia hiem) (nhu) habiliate
abilities	ability   danh tu nang luc, kha nang (lam viec gi) (so nhieu) tai nang, tai can a man of abilities  mot nguoi tai nang  (phap ly) tham quyen (thuong nghiep) kha nang thanh toan duoc; von san co, nguon von (de dap ung khi can thiet) to be best of one's ability  voi tu cach kha nang cua minh ability kha nang
ability	ability   danh tu nang luc, kha nang (lam viec gi) (so nhieu) tai nang, tai can a man of abilities  mot nguoi tai nang  (phap ly) tham quyen (thuong nghiep) kha nang thanh toan duoc; von san co, nguon von (de dap ung khi can thiet) to be best of one's ability  voi tu cach kha nang cua minh ability kha nang
Ability and earnings	Ability and earnings (Econ) Nang luc va thu nhap  Thuoc do ve kha nang va trinh do (hoc van) co tuong quan chat che voi nhau, lam tang kha nang la phan lon loi tuc duoc uoc tinh do giao duc tren thuc te cung chinh la loi tuc do nang  luc
Ability to pay	Ability to pay (Econ) Kha nang chi tra.
Ability to pay theory	Ability to pay theory (Econ) Ly thuyet ve kha nang chi tra  Mot ly thuyet ve cach danh thue theo do ganh nang ve thue nen duoc phan bo theo kha nang chi tra; va mot he thong thue kieu luy tien, ty le hay luy thoai, tuy thuoc vao thuoc do duoc su dung va do doc gia dinh cua do thi thoa dung bien cua thu nhap.
abiogeneses	abiogenesis   danh tu (sinh vat hoc) su phat sinh tu nhien
abiogenesis	abiogenesis   danh tu (sinh vat hoc) su phat sinh tu nhien
abiogenetic	abiogenetic   tinh tu (sinh vat hoc) phat sinh tu nhien
abiogenetically	abiogenetically   pho tu (sinh vat hoc) phat sinh tu nhien
abiogenist	abiogenist   danh tu nguoi tin thuyet phat sinh tu nhien
abiogenous	abiogenous   tinh tu (sinh vat hoc) phat sinh tu nhien
abiogeny	abiogeny   danh tu (sinh vat hoc) su phat sinh tu nhien
abiological	abiological   tinh tu phi sinh vat hoc
abiologically	abiologically xem abiological
abioses	abiosis xem abiotic
abioseston	abioseston danh tu (sinh hoc) chat vo co lo lung
abiosis	abiosis xem abiotic
abiotic	abiotic   tinh tu vo sinh
abiotically	abiotically xem abiotic
abiotrophic	abiotrophic tinh tu kiet suc song; suy suc song
abirritant	abirritant danh tu thuoc giam kich thich
